Marital status,Application mode,Application order,Gender,Age at enrollment,Course,Course Name,Daytime/evening attendance,Previous qualification,Previous qualification (grade out of 200),Nationality Name,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Student_Success
single,3rd phase - general contingent,2,female,19.0,9500,Nursing,daytime,Secondary education,129.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",119.0,yes,no,no,yes,yes,no,0,8,8,7,12.34285714,0,0,8,8,7,12.34285714,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,female,19.0,9147,Management,daytime,Secondary education,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119.0,yes,no,no,no,yes,no,0,5,7,3,10.66666667,0,0,5,10,3,12.28571429,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,1,female,18.0,9070,Communication Design,daytime,Secondary education,136.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.7,yes,no,no,yes,no,no,0,6,6,2,13.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,Technological specialization diploma holders,1,female,19.0,9238,Social Service,daytime,Technological specialization course,140.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,144.3,yes,no,no,yes,yes,no,3,6,7,6,13.14285714,0,2,6,6,6,14.33333333,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,2,female,18.0,9773,Journalism and Communication,daytime,Secondary education,125.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",122.2,yes,no,no,yes,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,1,female,20.0,9254,Tourism,daytime,Secondary education,136.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.7,yes,no,no,yes,no,no,0,6,13,3,10.33333333,0,0,6,12,3,10.33333333,0,10.8,1.4,1.74,Enrolled
single,2nd phase - general contingent,5,female,18.0,9853,Basic Education,daytime,Secondary education,134.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,122.1,yes,no,no,yes,yes,no,0,6,8,6,11.66666667,0,0,6,9,4,12.0,0,10.8,1.4,1.74,Dropout
single,3rd phase - general contingent,3,female,18.0,9070,Communication Design,daytime,Secondary education,164.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,161.2,yes,no,no,yes,no,no,1,6,8,6,13.71428571,1,0,6,8,6,14.375,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,2,female,19.0,9500,Nursing,daytime,Secondary education,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",138.8,yes,no,no,yes,no,no,0,7,7,6,12.76666667,0,0,7,7,6,12.76666667,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,2,female,20.0,9254,Tourism,daytime,Secondary education,111.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",109.3,yes,no,no,yes,yes,no,0,6,6,6,13.83333333,0,0,6,6,6,15.0,0,11.1,0.6,2.02,Graduate
single,Short cycle diploma holders,1,female,24.0,9003,Agronomy,daytime,Professional higher technical course,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",133.8,no,no,yes,yes,yes,no,7,12,13,12,12.84615385,0,5,11,13,11,12.63636364,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,3,female,20.0,9500,Nursing,daytime,Secondary education,128.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Armed Forces Professions,118.9,yes,no,no,yes,no,no,0,7,8,7,11.5875,0,0,8,9,7,14.07142857,0,13.9,-0.3,0.79,Graduate
single,Transfer,1,female,28.0,9500,Nursing,daytime,Secondary education,100.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",134.3,yes,no,no,yes,no,no,12,17,21,17,13.39473684,0,11,17,19,17,13.55473684,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,2,male,18.0,9119,Informatics Engineering,daytime,Secondary education,140.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125.7,yes,no,no,yes,no,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,3,female,19.0,9130,Equinculture,daytime,Secondary education,167.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Other Situation,159.3,no,no,no,yes,no,no,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
married,Change of course,1,female,31.0,9991,Management (evening attendance),evening,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,100.0,no,no,no,no,no,no,2,6,10,4,11.75,0,0,5,6,1,10.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,female,20.0,9238,Social Service,daytime,Secondary education,133.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Specialists in Intellectual and Scientific Activities,Administrative staff,126.0,no,no,no,yes,no,no,0,6,11,1,12.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled
single,1st phase - general contingent,2,female,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,143.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",131.8,yes,no,no,yes,yes,no,0,6,8,6,13.57142857,0,0,6,6,5,12.8,0,12.4,0.5,1.79,Enrolled
single,1st phase - general contingent,3,female,20.0,9238,Social Service,daytime,Secondary education,125.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Armed Forces Professions,123.6,yes,no,no,yes,no,no,0,6,10,4,11.0,0,0,6,9,6,11.83333333,0,9.4,-0.8,-3.12,Graduate
single,Over 23 years old,1,male,36.0,9500,Nursing,daytime,Secondary education,120.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,149.0,no,no,no,no,no,no,0,6,15,2,11.5,0,0,7,9,0,0.0,0,15.5,2.8,-4.06,Dropout
married,Over 23 years old,1,female,45.0,8014,Social Service (evening attendance),evening,Secondary education,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,141.5,no,no,no,yes,no,no,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
married,Holders of other higher courses,1,female,23.0,9147,Management,daytime,Higher education - degree,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,140.0,no,no,no,yes,no,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Short cycle diploma holders,1,male,21.0,9003,Agronomy,daytime,Secondary education,130.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,130.0,no,no,yes,yes,no,no,7,12,20,10,11.8,0,5,12,15,9,11.44444444,0,8.9,1.4,3.51,Enrolled
single,1st phase - general contingent,1,male,20.0,9147,Management,daytime,Secondary education,124.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,115.6,yes,no,no,no,no,no,0,5,9,3,12.0,1,0,5,7,3,11.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,1,male,20.0,9500,Nursing,daytime,Secondary education,134.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",133.5,yes,no,no,yes,yes,no,0,7,8,7,11.9725,0,0,8,8,8,12.65125,0,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,1,male,19.0,171,Animation and Multimedia Design,daytime,Secondary education,135.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",131.9,yes,no,no,yes,no,no,6,12,12,12,13.58333333,0,4,11,12,11,13.58333333,0,8.9,1.4,3.51,Graduate
single,Over 23 years old,1,female,34.0,8014,Social Service (evening attendance),evening,Secondary education,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unknown,Unknown,100.0,no,no,no,yes,no,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,female,19.0,9500,Nursing,daytime,Secondary education,118.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",117.8,no,no,no,yes,yes,no,0,7,7,7,13.7,0,0,8,9,7,14.67142857,0,12.4,0.5,1.79,Graduate
single,International student (bachelor),1,female,18.0,9085,Veterinary Nursing,daytime,Secondary education,133.1,Brazilian,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,101.3,no,no,no,yes,no,yes,0,6,13,6,13.0,0,0,6,15,6,12.25,0,11.1,0.6,2.02,Graduate
single,Change of course,1,male,24.0,9070,Communication Design,daytime,Secondary education,116.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,120.9,no,no,no,yes,no,no,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
single,1st phase - general contingent,4,female,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,130.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,124.1,yes,no,no,yes,no,no,0,6,6,6,14.16666667,0,0,6,7,6,13.42857143,0,8.9,1.4,3.51,Enrolled
married,Over 23 years old,1,male,36.0,9500,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,170.0,no,no,no,yes,no,no,0,7,9,6,12.78333333,0,0,8,11,0,0.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,3,female,18.0,9070,Communication Design,daytime,Secondary education,136.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125.2,yes,no,no,yes,yes,no,0,6,6,6,14.0,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,2,female,20.0,9500,Nursing,daytime,Secondary education,131.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",118.4,yes,no,no,yes,yes,no,0,7,9,6,13.76666667,0,0,8,9,8,13.74444444,0,16.2,0.3,-0.92,Dropout
single,2nd phase - general contingent,1,female,18.0,9130,Equinculture,daytime,Secondary education,130.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,115.9,no,no,no,yes,no,no,0,5,14,2,12.0,2,0,5,6,5,12.6,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,4,female,18.0,9670,Advertising and Marketing Management,daytime,Secondary education,126.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",119.4,yes,no,no,yes,yes,no,0,6,6,6,14.0,0,0,6,9,5,13.8,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,3,female,20.0,9238,Social Service,daytime,Secondary education,137.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Secondary Education - 12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131.4,yes,no,no,yes,no,no,0,6,9,5,11.8,0,0,6,7,6,11.5,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,1,female,24.0,9254,Tourism,daytime,Secondary education,130.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,no,no,no,yes,yes,no,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,2,female,19.0,9500,Nursing,daytime,Secondary education,106.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,106.4,yes,no,no,yes,yes,no,0,7,9,5,13.34,0,0,7,9,6,12.38571429,0,12.4,0.5,1.79,Enrolled
single,1st phase - general contingent,2,female,20.0,9085,Veterinary Nursing,daytime,Secondary education,130.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Other Situation,122.0,no,no,no,yes,no,no,0,5,6,5,12.6,0,0,5,8,4,12.33333333,0,7.6,2.6,0.32,Graduate
married,Over 23 years old,1,female,46.0,8014,Social Service (evening attendance),evening,11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",113.0,no,no,no,yes,no,no,0,6,13,3,12.33333333,0,0,6,6,6,13.33333333,0,11.1,0.6,2.02,Graduate
married,Over 23 years old,1,female,31.0,9991,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Technological specialization course,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,121.7,no,no,yes,no,no,no,0,5,7,0,0.0,0,0,5,7,0,0.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,male,18.0,9003,Agronomy,daytime,Secondary education,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Equivalent,Unskilled Workers,Administrative staff,138.3,no,no,no,yes,no,no,0,6,7,6,16.0,0,0,6,6,6,15.16666667,0,12.4,0.5,1.79,Graduate
single,Change of course,2,male,22.0,9670,Advertising and Marketing Management,daytime,Secondary education,130.0,Portuguese,Basic Education (9th/10th/11th Year) or Equivalent,Secondary Education - 12th Year of Schooling or Equivalent,Administrative staff,Administrative staff,127.6,yes,no,no,yes,no,no,4,6,6,6,11.83333333,0,0,6,11,4,11.14285714,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,2,female,20.0,9500,Nursing,daytime,Secondary education,132.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",127.5,yes,no,no,yes,no,no,0,8,8,8,12.48375,0,0,8,8,8,12.48375,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,female,20.0,9238,Social Service,daytime,Secondary education,108.0,Portuguese,Secondary Education (12th Year of Schooling or Equivalent),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,105.9,no,no,no,yes,yes,no,0,6,11,5,10.6,0,0,6,9,5,11.16666667,0,11.1,0.6,2.02,Enrolled
